,config.variables.CHANNEL_24,country,config.variables.SHUTDOWN_24,description,msn,type,config.variables.CHANNEL_5,mac,network,config.variables.VLAN_1_IP,config.variables.POWER_5,status_time,config.variables.VLAN_1_PREFIX6,config.variables.DISPLAY_NAME,tower,config.variables.VLAN_1_IP6,product,managed_account,location.type,ap_group,ip,config.variables.DEFAULT_GW6,config.variables.VLAN_1_MASK,config.variables.POWER_24,config.variables.VLAN_1_MODE6,config.variables.LOCATION,config.version,config.variables.VLAN_1_MODE,site,registration_date,@timestamp,config.variables.DNS_SERVER6_2,config.variables.DNS_SERVER_2,config.variables.DNS_SERVER6_1,config.variables.DNS_SERVER_1,name,site_id,location.coordinates,config.variables.SHUTDOWN_5,config.variables.DEFAULT_GW,status
394,,CO,,,W8WJ0C183R8F,wifi-enterprise,,BC:E6:7C:E7:FC:44,CORDOBA,,,47193.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.129.20,,,,,,,,13654-ZZZY222 PUERTO ESCONDIDO LA MILAGROSA,2021-05-06 18:27:23,2021-06-21T09:48:13.818332,,,,,13654-ZZZY222-AP-EXT-1,13654-ZZZY222,-73.93441,,,offline
395,,CO,,,W8WJ0C9DK54S,wifi-enterprise,,BC:E6:7C:E7:FD:38,CORDOBA,,,27573.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.119.28,,,,,,1,,32578-ZGYO845 CORDOBA VEREDA QUEBRADA COSTA,2021-05-09 09:34:14,2021-06-21T09:48:13.818332,,,,,32578-ZGYO845-AP-EXT1,32578-ZGYO845,5.76568,,,offline
396,,CO,,,W8WK0494KTFG,wifi-enterprise,,BC:E6:7C:EC:A9:B3,CORDOBA,,,27573.0,,,,,cnPilot e410,,Point,INDOOR,172.25.119.27,,,,,,,,32578-ZGYO845 CORDOBA VEREDA QUEBRADA COSTA,2021-05-09 09:41:36,2021-06-21T09:48:13.818332,,,,,32578-ZGYO845-AP-INT,32578-ZGYO845,-73.039,,,offline
397,,CO,,,W8WF00H8G4DL,wifi-enterprise,,BC:E6:7C:4F:07:79,CORDOBA,,,3869252.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.115.164,,,,,,,,31854-ZGYO338- MOnITOS VDA. BAJO LA REINA,2021-05-06 19:04:10,2021-06-21T09:48:13.818332,,,,,31854-ZGYO338-AP-EXT1,31854-ZGYO338,8.0115,,,offline
398,,CO,,,W8WJ0BSXK44H,wifi-enterprise,,BC:E6:7C:E7:C9:7E,CORDOBA,,,47193.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.129.21,,,,,,,,13654-ZZZY222 PUERTO ESCONDIDO LA MILAGROSA,2021-05-06 18:38:47,2021-06-21T09:48:13.818332,,,,,13654-ZZZY222-AP-EXT-2,13654-ZZZY222,-75.1916,,,offline
399,,CO,,,W8WK060CW8FL,wifi-enterprise,,BC:E6:7C:ED:8B:3C,CORDOBA,,,47193.0,,,,,cnPilot e410,,Point,INDOOR,172.25.129.19,,,,,,,,13654-ZZZY222 PUERTO ESCONDIDO LA MILAGROSA,2021-05-06 18:35:54,2021-06-21T09:48:13.818332,,,,,13654-ZZZY222-AP-INT,13654-ZZZY222,9.285,,,offline
400,,CO,,,W8WK04W3D767,wifi-enterprise,,BC:E6:7C:EC:DD:CE,CORDOBA,,,3869252.0,,,,,cnPilot e410,,Point,INDOOR,172.25.115.163,,,,,,,,31854-ZGYO338- MOnITOS VDA. BAJO LA REINA,2021-05-06 19:04:44,2021-06-21T09:48:13.818332,,,,,31854-ZGYO338-AP-INT,31854-ZGYO338,-75.1916,,,offline
401,,CO,,,W8WF008VBC7H,wifi-enterprise,,BC:E6:7C:4F:06:B9,CORDOBA,,,3869252.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.115.165,,,,,,,,31854-ZGYO338- MOnITOS VDA. BAJO LA REINA,2021-05-06 19:03:40,2021-06-21T09:48:13.818332,,,,,31854-ZGYO338-AP-EXT2,31854-ZGYO338,9.285,,,offline
402,,CO,,32544-ZGYO475-AP-INT,W8TL0D96S054,wifi-enterprise,,58:C1:7A:0F:30:80,CORDOBA,,,25532.0,,,,,cnPilot e410,,Point,INDOOR,172.25.119.123,,,,,,,,32544-ZGYO475-TIERRALTA-NUEVA GRANADA,2021-05-06 19:02:24,2021-06-21T09:48:13.818332,,,,,32544-ZGYO475-AP-INT,32544-ZGYO475,-75.1916,,,offline
403,,CO,,,W8WL047FX7TL,wifi-enterprise,,BC:A9:93:00:97:BE,CORDOBA,,,38313.0,,,,,cnPilot e510,,Point,,172.25.116.213,,,,,,,,31154-ZGYO864 MONTERiA GALILEA,2021-05-07 17:50:24,2021-06-21T09:48:13.818332,,,,,31154-ZGYO864-AP-EXT2,31154-ZGYO864,9.285,,,offline
